Store,Dept,Date,IsHoliday,Weekly_Pred
1.0,1.0,2012-03-02,False,21786.48318803688
1.0,1.0,2012-03-09,False,21813.80165326973
1.0,1.0,2012-03-16,False,22088.858913783035
1.0,1.0,2012-03-23,False,22736.725296381912
1.0,1.0,2012-03-30,False,39752.166250590286
1.0,1.0,2012-04-06,False,34863.07646310707
1.0,1.0,2012-04-13,False,23303.692770365677
1.0,1.0,2012-04-20,False,35703.25133455177
1.0,1.0,2012-04-27,False,30672.77226388832
1.0,2.0,2012-03-02,False,52784.91832601864
1.0,2.0,2012-03-09,False,47711.89757025082
1.0,2.0,2012-03-16,False,47749.41414940197
1.0,2.0,2012-03-23,False,45971.70882761318
1.0,2.0,2012-03-30,False,48495.51205742199
1.0,2.0,2012-04-06,False,48210.950063346216
1.0,2.0,2012-04-13,False,48192.783344863245
1.0,2.0,2012-04-20,False,47918.79933130581
1.0,2.0,2012-04-27,False,46998.235940574
1.0,3.0,2012-03-02,False,10744.962994019195
1.0,3.0,2012-03-09,False,10298.444075627878
1.0,3.0,2012-03-16,False,9299.716535716012
1.0,3.0,2012-03-23,False,9724.121416319787
1.0,3.0,2012-03-30,False,9894.835492814585
1.0,3.0,2012-04-06,False,10021.122165812805
1.0,3.0,2012-04-13,False,10098.414807623878
1.0,3.0,2012-04-20,False,10606.550278943658
1.0,3.0,2012-04-27,False,9632.94775084655
1.0,4.0,2012-03-02,False,38638.29037517118
1.0,4.0,2012-03-09,False,35076.373079715246
1.0,4.0,2012-03-16,False,35465.39639371442
1.0,4.0,2012-03-23,False,33785.52232497739
1.0,4.0,2012-03-30,False,36872.14318030881
1.0,4.0,2012-04-06,False,36499.701914725774
1.0,4.0,2012-04-13,False,34768.01962989377
1.0,4.0,2012-04-20,False,35706.13106626081
1.0,4.0,2012-04-27,False,35068.7183741908
1.0,5.0,2012-03-02,False,31320.538591525044
1.0,5.0,2012-03-09,False,28746.191834589925
1.0,5.0,2012-03-16,False,26623.232690951314
1.0,5.0,2012-03-23,False,32506.30459656426
1.0,5.0,2012-03-30,False,29971.53729023644
1.0,5.0,2012-04-06,False,25319.75817265221
1.0,5.0,2012-04-13,False,21914.614730021443
1.0,5.0,2012-04-20,False,26616.465108057942
1.0,5.0,2012-04-27,False,22502.173394343343
1.0,6.0,2012-03-02,False,3874.968657969408
1.0,6.0,2012-03-09,False,3339.0606143464374
1.0,6.0,2012-03-16,False,3404.2292425622272
1.0,6.0,2012-03-23,False,3930.441194056444
1.0,6.0,2012-03-30,False,3162.665421246462
1.0,6.0,2012-04-06,False,3309.2375710000324
1.0,6.0,2012-04-13,False,3679.2863737334537
1.0,6.0,2012-04-20,False,3654.243788360529
1.0,6.0,2012-04-27,False,3161.7616466273594
1.0,7.0,2012-03-02,False,16964.848584947773
1.0,7.0,2012-03-09,False,16594.297895727344
1.0,7.0,2012-03-16,False,21810.84978657741
1.0,7.0,2012-03-23,False,14793.473985490986
1.0,7.0,2012-03-30,False,17675.241592703052
1.0,7.0,2012-04-06,False,17053.354687032886
1.0,7.0,2012-04-13,False,15274.747605619617
1.0,7.0,2012-04-20,False,15424.379710016437
1.0,7.0,2012-04-27,False,16701.851543245502
1.0,8.0,2012-03-02,False,38850.001388800454
1.0,8.0,2012-03-09,False,34941.389881921124
1.0,8.0,2012-03-16,False,34696.9025396827
1.0,8.0,2012-03-23,False,33169.31984741719
1.0,8.0,2012-03-30,False,35867.342507732224
1.0,8.0,2012-04-06,False,34241.26018471749
1.0,8.0,2012-04-13,False,33549.573318612885
1.0,8.0,2012-04-20,False,34158.84400637181
1.0,8.0,2012-04-27,False,33942.437704098535
1.0,9.0,2012-03-02,False,25831.167279081506
1.0,9.0,2012-03-09,False,26246.075225668115
1.0,9.0,2012-03-16,False,37385.55936987893
1.0,9.0,2012-03-23,False,28957.49932845132
1.0,9.0,2012-03-30,False,29824.89800246255
1.0,9.0,2012-04-06,False,28951.9897640516
1.0,9.0,2012-04-13,False,29877.595540838403
1.0,9.0,2012-04-20,False,28591.119878606958
1.0,9.0,2012-04-27,False,28798.043750600977
1.0,10.0,2012-03-02,False,36261.730379466426
1.0,10.0,2012-03-09,False,34871.88010037364
1.0,10.0,2012-03-16,False,37204.81852090777
1.0,10.0,2012-03-23,False,33995.971093778026
1.0,10.0,2012-03-30,False,35000.75610816897
1.0,10.0,2012-04-06,False,34629.42730510653
1.0,10.0,2012-04-13,False,34717.996519688975
1.0,10.0,2012-04-20,False,33198.485552911174
1.0,10.0,2012-04-27,False,32397.77926409663
1.0,11.0,2012-03-02,False,21793.690004790562
1.0,11.0,2012-03-09,False,20763.433586323994
1.0,11.0,2012-03-16,False,22311.11209293677
1.0,11.0,2012-03-23,False,23013.028581584233
1.0,11.0,2012-03-30,False,23090.50980755164
1.0,11.0,2012-04-06,False,24393.44283768012
1.0,11.0,2012-04-13,False,24332.13050361945
1.0,11.0,2012-04-20,False,22690.926398242253
1.0,11.0,2012-04-27,False,23670.549897397297
1.0,12.0,2012-03-02,False,12761.643757130774
1.0,12.0,2012-03-09,False,13231.989186789664
1.0,12.0,2012-03-16,False,15513.052546288642
1.0,12.0,2012-03-23,False,12927.110881116065
1.0,12.0,2012-03-30,False,13079.68656375614
1.0,12.0,2012-04-06,False,12615.014511611136
1.0,12.0,2012-04-13,False,13234.151798751029
1.0,12.0,2012-04-20,False,13658.68480208126
1.0,12.0,2012-04-27,False,11453.017170216712
1.0,13.0,2012-03-02,False,43660.6937960851
1.0,13.0,2012-03-09,False,38105.359466956834
1.0,13.0,2012-03-16,False,38579.4825224149
1.0,13.0,2012-03-23,False,36855.14478676198
1.0,13.0,2012-03-30,False,38615.22433321355
1.0,13.0,2012-04-06,False,37796.70436470387
