Store,Dept,Date,IsHoliday,Weekly_Pred
1.0,1.0,2012-09-07,True,19235.160853854788
1.0,1.0,2012-09-14,False,19935.61844205059
1.0,1.0,2012-09-21,False,19428.443609706534
1.0,1.0,2012-09-28,False,20413.74237298168
1.0,1.0,2012-10-05,False,23429.236748210562
1.0,1.0,2012-10-12,False,24877.461984149588
1.0,1.0,2012-10-19,False,26256.0922880093
1.0,1.0,2012-10-26,False,35229.164932243
1.0,2.0,2012-09-07,True,45437.57164061341
1.0,2.0,2012-09-14,False,45975.377030136915
1.0,2.0,2012-09-21,False,44999.26490712437
1.0,2.0,2012-09-28,False,46489.984730365606
1.0,2.0,2012-10-05,False,48043.20876360211
1.0,2.0,2012-10-12,False,44265.711350205274
1.0,2.0,2012-10-19,False,44903.00651324067
1.0,2.0,2012-10-26,False,44185.151861908766
1.0,3.0,2012-09-07,True,11653.406352604961
1.0,3.0,2012-09-14,False,11167.516639198398
1.0,3.0,2012-09-21,False,9917.478413905239
1.0,3.0,2012-09-28,False,9605.092053736782
1.0,3.0,2012-10-05,False,10211.955661381817
1.0,3.0,2012-10-12,False,9625.524419750309
1.0,3.0,2012-10-19,False,9546.590961302853
1.0,3.0,2012-10-26,False,9203.460420097446
1.0,4.0,2012-09-07,True,37566.861667548845
1.0,4.0,2012-09-14,False,36228.487944518754
1.0,4.0,2012-09-21,False,35297.16667929811
1.0,4.0,2012-09-28,False,36136.6510900609
1.0,4.0,2012-10-05,False,39108.81455889864
1.0,4.0,2012-10-12,False,36535.0028437726
1.0,4.0,2012-10-19,False,36337.139623557756
1.0,4.0,2012-10-26,False,36505.17774430437
1.0,5.0,2012-09-07,True,17936.612431724487
1.0,5.0,2012-09-14,False,19561.22279949945
1.0,5.0,2012-09-21,False,19891.03211470407
1.0,5.0,2012-09-28,False,21622.57303639215
1.0,5.0,2012-10-05,False,25760.081042726455
1.0,5.0,2012-10-12,False,23169.15256281656
1.0,5.0,2012-10-19,False,25995.384302576003
1.0,5.0,2012-10-26,False,22809.401356418548
1.0,6.0,2012-09-07,True,3262.1419426102357
1.0,6.0,2012-09-14,False,3072.505278696509
1.0,6.0,2012-09-21,False,3521.6574946541505
1.0,6.0,2012-09-28,False,2987.381394018622
1.0,6.0,2012-10-05,False,3076.9565755028443
1.0,6.0,2012-10-12,False,3289.8896151680665
1.0,6.0,2012-10-19,False,3812.395750631781
1.0,6.0,2012-10-26,False,3748.295264353247
1.0,7.0,2012-09-07,True,16538.772376415913
1.0,7.0,2012-09-14,False,14785.89413678426
1.0,7.0,2012-09-21,False,14679.174840328877
1.0,7.0,2012-09-28,False,14095.043247578327
1.0,7.0,2012-10-05,False,14001.212556240742
1.0,7.0,2012-10-12,False,14863.325683949177
1.0,7.0,2012-10-19,False,19380.855578777973
1.0,7.0,2012-10-26,False,18596.133021710102
1.0,8.0,2012-09-07,True,35862.52003823616
1.0,8.0,2012-09-14,False,35949.85113679268
1.0,8.0,2012-09-21,False,35165.547644246595
1.0,8.0,2012-09-28,False,37750.65045987465
1.0,8.0,2012-10-05,False,38356.96109639503
1.0,8.0,2012-10-12,False,36230.54029904701
1.0,8.0,2012-10-19,False,36207.76260434486
1.0,8.0,2012-10-26,False,36358.77220403053
1.0,9.0,2012-09-07,True,42718.420714172105
1.0,9.0,2012-09-14,False,32902.11246374486
1.0,9.0,2012-09-21,False,33521.82173136113
1.0,9.0,2012-09-28,False,42872.375710281114
1.0,9.0,2012-10-05,False,37592.72396448491
1.0,9.0,2012-10-12,False,35226.510432037096
1.0,9.0,2012-10-19,False,30675.810800346117
1.0,9.0,2012-10-26,False,36306.469186576585
1.0,10.0,2012-09-07,True,33596.864749505155
1.0,10.0,2012-09-14,False,31605.39261789524
1.0,10.0,2012-09-21,False,29812.00921316349
1.0,10.0,2012-09-28,False,31594.586833192938
1.0,10.0,2012-10-05,False,33401.224785878294
1.0,10.0,2012-10-12,False,32321.72953708374
1.0,10.0,2012-10-19,False,31445.9468506118
1.0,10.0,2012-10-26,False,28698.599368168943
1.0,11.0,2012-09-07,True,19198.302502799663
1.0,11.0,2012-09-14,False,18959.414501357707
1.0,11.0,2012-09-21,False,17819.615346599254
1.0,11.0,2012-09-28,False,18860.947901178035
1.0,11.0,2012-10-05,False,21020.238645482692
